,Waive Cost Sharing for COVID-19 Treatment,Free Cost Vaccine When Available,State Requires Waiver of Prior Authorization Requirements*,Early Prescription Refills,Premium Payment Grace Period,Expands Access to Telehealth Services,Marketplace Special Enrollment Period (SEP),Section 1135 Waiver,Paid Sick Leave
United States,State Requires (3); State-Insurer Agreement (3); No Action (45),State Requires (9); State-Insurer Agreement (1); No Action (41),For COVID-19 Testing (5); For COVID-19 Testing and Treatment (6); No Action (40),State Requires (16); Expired (2); No Action (33),Grace Period Extended for All Policies (2); Grace Period Extended for COVID-19 Diagnosis/Impacts Only (4); Expired (10); No Action (35),Yes (38); Expired (1); No (12),Active (4); Ended (8); No (39),Approved (51); No Action (0),Enacted (13); Proposed (2); No action (36)
Alabama,-,-,-,-,-,-,-,Approved,-
Alaska,-,-,-,State Requires,Expired,Yes,-,Approved,-
Arizona,-,-,-,-,-,Yes,-,Approved,Enacted
Arkansas,-,-,-,-,COVID-19 Diagnosis/Impacts Only,Yes,-,Approved,-
California,-,-,-,State Requires,-,Yes,Active,Approved,Enacted
Colorado,-,-,-,State Requires,-,Yes,Ended,Approved,Enacted
Connecticut,-,-,-,-,Expired,Yes,Ended,Approved,Enacted
Delaware,-,-,For COVID-19 Testing and Treatment,State Requires,Expired,Yes,-,Approved,-
District of Columbia,State Requires,State Requires,For COVID-19 Testing and Treatment,State Requires,-,Yes,Active,Approved,Enacted
Florida,-,-,-,State Requires,-,-,-,Approved,-
Georgia,-,-,-,State Requires,Expired,-,-,Approved,-
Hawaii,-,-,-,-,-,Yes,-,Approved,-
Idaho,State-Insurer Agreement,-,-,-,-,Yes,-,Approved,-
Illinois,-,-,-,-,All Policies,Yes,-,Approved,-
Indiana,-,-,-,-,-,Yes,-,Approved,-
Iowa,-,-,-,-,-,Yes,-,Approved,-
Kansas,-,-,-,-,-,Yes,-,Approved,-
Kentucky,-,State Requires,For COVID-19 Testing,State Requires,-,Yes,-,Approved,Proposed - March 2020
Louisiana,-,State Requires,For COVID-19 Testing,State Requires,Expired,Yes,-,Approved,-
Maine,-,State Requires,For COVID-19 Testing,State Requires,-,Yes,-,Approved,-
Maryland,-,State Requires,-,State Requires,-,Yes,Ended,Approved,Enacted
Massachusetts,State Requires,State Requires,For COVID-19 Testing and Treatment,State Requires,-,Yes,Ended,Approved,Enacted
Michigan,State-Insurer Agreement,-,-,Expired,-,Yes,-,Approved,-
Minnesota,State-Insurer Agreement,-,-,-,-,-,Ended,Approved,-
Mississippi,-,-,-,-,Expired,Yes,-,Approved,-
Missouri,-,-,-,-,-,-,-,Approved,-
Montana,-,-,-,-,-,Yes,-,Approved,-
Nebraska,-,-,-,-,-,Yes,-,Approved,-
Nevada,-,State Requires,-,-,-,-,Ended,Approved,-
New Hampshire,-,-,For COVID-19 Testing,State Requires,-,Yes,-,Approved,-
New Jersey,-,-,-,-,Expired,Yes,-,Approved,Enacted
New Mexico,State Requires,-,-,-,-,Yes,-,Approved,-
New York,-,State Requires,-,-,COVID-19 Diagnosis/Impacts Only,Yes,Active,Approved,Enacted
North Carolina,-,-,-,-,Expired,Yes,-,Approved,-
North Dakota,-,-,-,-,-,Yes,-,Approved,-
Ohio,-,-,-,-,All Policies,Yes,-,Approved,-
Oklahoma,-,-,For COVID-19 Testing and Treatment,Expired,COVID-19 Diagnosis/Impacts Only,Expired,-,Approved,-
Oregon,-,State-Insurer Agreement,-,-,Expired,Yes,-,Approved,Enacted
Pennsylvania,-,-,For COVID-19 Testing,-,-,-,-,Approved,-
Rhode Island,-,State Requires,For COVID-19 Testing and Treatment,State Requires,-,Yes,Ended,Approved,Enacted
South Carolina,-,-,-,-,-,-,-,Approved,-
South Dakota,-,-,-,-,-,Yes,-,Approved,-
Tennessee,-,-,-,-,-,-,-,Approved,-
Texas,-,-,-,-,-,Yes,-,Approved,-
Utah,-,-,-,-,-,Yes,-,Approved,Proposed - March 2020
Vermont,-,-,-,-,-,Yes,Active,Approved,Enacted
Virginia,-,-,-,-,-,Yes,-,Approved,-
Washington,-,-,For COVID-19 Testing and Treatment,State Requires,Expired,Yes,Ended,Approved,Enacted
West Virginia,-,-,-,State Requires,COVID-19 Diagnosis/Impacts Only,-,-,Approved,-
Wisconsin,-,-,-,-,-,-,-,Approved,-
Wyoming,-,-,-,-,-,-,-,Approved,-
