,Statewide Face Mask Requirement,Emergency Declaration,Status of Reopening
United States, Yes (1); Indoor Only (5); Unvaccinated People Only (4); No (41),Yes (25); No (26),Reopened (50); Imposing New Restrictions (1)
Alabama,No,Yes,Reopened
Alaska,No,No,Reopened
Arizona,No,Yes,Reopened
Arkansas,No,No,Reopened
California,Unvaccinated People Only,Yes,Reopened
Colorado,No,No,Reopened
Connecticut,Unvaccinated People Only,Yes,Reopened
Delaware,No,Yes,Reopened
District of Columbia,No ,Yes,Reopened
Florida,No,No,Reopened
Georgia,No,Yes,Reopened
Hawaii,Indoor Only,Yes,Imposing New Restrictions
Idaho,No,Yes,Reopened
Illinois,Indoor Only,Yes,Reopened
Indiana,No,Yes,Reopened
Iowa,No,Yes,Reopened
Kansas,No,No,Reopened
Kentucky,No,Yes,Reopened
Louisiana,No,Yes,Reopened
Maine,No,No,Reopened
Maryland,No,No,Reopened
Massachusetts,No,No,Reopened
Michigan,No,No,Reopened
Minnesota,No,No,Reopened
Mississippi,No,Yes,Reopened
Missouri,No,No,Reopened
Montana,No,No,Reopened
Nebraska,No,No,Reopened
Nevada,Unvaccinated People Only,Yes,Reopened
New Hampshire,No,No,Reopened
New Jersey,No,No,Reopened
New Mexico,Indoor Only,Yes,Reopened
New York,Unvaccinated People Only,No,Reopened
North Carolina,No,Yes,Reopened
North Dakota,No,No,Reopened
Ohio,No,No,Reopened
Oklahoma,No,No,Reopened
Oregon,Yes,Yes,Reopened
Pennsylvania,No,No,Reopened
Rhode Island,No,Yes,Reopened
South Carolina,No,No,Reopened
South Dakota,No,No,Reopened
Tennessee,No,No,Reopened
Texas,No,Yes,Reopened
Utah,No,Yes,Reopened
Vermont,No,No,Reopened
Virginia,No,No,Reopened
Washington,Indoor Only,Yes,Reopened
West Virginia,No,Yes,Reopened
Wisconsin,No,No,Reopened
Wyoming,No,Yes,Reopened
